Extractor,PCA Components,Classifier,Best Parameters,Accuracy,Precision,Recall,F1-Score
Inceptionv3,30,KNN,"{'n_neighbors': 1, 'p': 2, 'weights': 'uniform'}",0.6375,0.6418439716312057,0.6375,0.634703196347032
Inceptionv3,30,SVM,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.8625,0.8627267041901188,0.8625,0.8624785122675418
Inceptionv3,30,Random Forest,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.8750,0.8759398496240601,0.875,0.8749218261413383
Inceptionv3,30,Logistic Regression,"{'C': 10, 'penalty': 'l2', 'solver': 'saga'}",0.8875,0.8877423389618512,0.8875,0.8874824191279886
Inceptionv3,30,MLP,"{'activation': 'logistic', 'alpha': 0.01, 'hidden_layer_sizes': [128, 64, 32], 'learning_rate': 'constant', 'max_iter': 500, 'solver': 'lbfgs'}",0.8625,0.8627267041901188,0.8625,0.8624785122675418
Inceptionv3,30,MLP2,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': [64, 32], 'learning_rate': 'invscaling', 'max_iter': 500, 'solver': 'lbfgs'}",0.8250,0.8385416666666667,0.825,0.8232323232323233
Inceptionv3,50,KNN,"{'n_neighbors': 1, 'p': 2, 'weights': 'uniform'}",0.6750,0.6822916666666667,0.675,0.6717171717171717
Inceptionv3,50,SVM,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.8750,0.8759398496240601,0.875,0.8749218261413383
Inceptionv3,50,Random Forest,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.9000,0.9010025062656641,0.9,0.8999374609130707
Inceptionv3,50,Logistic Regression,"{'C': 0.1, 'penalty': 'l2', 'solver': 'saga'}",0.9125,0.9127579737335836,0.9125000000000001,0.9124863259884357
Inceptionv3,50,MLP,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': [128, 64, 32], 'learning_rate': 'invscaling', 'max_iter': 1000, 'solver': 'adam'}",0.8750,0.8759398496240601,0.875,0.8749218261413383
Inceptionv3,50,MLP2,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': [64, 32], 'learning_rate': 'constant', 'max_iter': 200, 'solver': 'lbfgs'}",0.9000,0.9010025062656641,0.9,0.8999374609130707
Inceptionv3,60,KNN,"{'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.7250,0.734375,0.725,0.7222222222222222
Inceptionv3,60,SVM,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.9500,0.9511278195488722,0.95,0.9499687304565353
Inceptionv3,60,Random Forest,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.8250,0.8258145363408521,0.825,0.8248905565978737
Inceptionv3,60,Logistic Regression,"{'C': 1, 'penalty': 'l2', 'solver': 'saga'}",0.9375,0.9377736085053159,0.9375,0.9374902328488826
Inceptionv3,60,MLP,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': [128, 64, 32], 'learning_rate': 'adaptive', 'max_iter': 1000, 'solver': 'sgd'}",0.8750,0.8759398496240601,0.875,0.8749218261413383
Inceptionv3,60,MLP2,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': [64], 'learning_rate': 'invscaling', 'max_iter': 200, 'solver': 'lbfgs'}",0.8875,0.8877423389618512,0.8875,0.8874824191279886
Inceptionv3,80,KNN,"{'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.7000,0.7133333333333334,0.7,0.6952380952380952
Inceptionv3,80,SVM,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.9500,0.9511278195488722,0.95,0.9499687304565353
Inceptionv3,80,Random Forest,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.8625,0.8627267041901188,0.8625,0.8624785122675418
Inceptionv3,80,Logistic Regression,"{'C': 0.1, 'penalty': 'l2', 'solver': 'saga'}",0.9625,0.9627892432770482,0.9624999999999999,0.9624941397093296
Inceptionv3,80,MLP,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': [128, 64, 32], 'learning_rate': 'invscaling', 'max_iter': 1000, 'solver': 'lbfgs'}",0.9500,0.95,0.95,0.95
