Extractor_PCA_Fusion,Fussion,Accuracy,Precision,Recall,F1-Score
Inceptionv3_30_Sum_Fusion,Sum Fusion,0.8375,0.839409176618479,0.8375,0.8372711625723674
Inceptionv3_30_Product_Fusion,Product Fusion,0.7375,0.7412698412698413,0.7375,0.7364705882352941
Inceptionv3_30_Average_Fusion,Average Fusion,0.8375,0.839409176618479,0.8375,0.8372711625723674
Inceptionv3_30_Min_Fusion,Min Fusion,0.6375,0.6418439716312057,0.6375,0.634703196347032
Inceptionv3_30_Max_Fusion,Max Fusion,0.6375,0.6418439716312057,0.6375,0.634703196347032
Inceptionv3_50_Sum_Fusion,Sum Fusion,0.9125,0.914833438089252,0.9125,0.9123767798466593
Inceptionv3_50_Product_Fusion,Product Fusion,0.7,0.7046035805626598,0.7,0.6983029541169076
Inceptionv3_50_Average_Fusion,Average Fusion,0.9125,0.914833438089252,0.9125,0.9123767798466593
Inceptionv3_50_Min_Fusion,Min Fusion,0.675,0.6822916666666667,0.675,0.6717171717171717
Inceptionv3_50_Max_Fusion,Max Fusion,0.675,0.6822916666666667,0.675,0.6717171717171717
Inceptionv3_60_Sum_Fusion,Sum Fusion,0.925,0.925,0.925,0.925
Inceptionv3_60_Product_Fusion,Product Fusion,0.8875,0.8896920175989944,0.8875,0.887341574088562
Inceptionv3_60_Average_Fusion,Average Fusion,0.925,0.925,0.925,0.925
Inceptionv3_60_Min_Fusion,Min Fusion,0.85,0.8535353535353536,0.8500000000000001,0.849624060150376
Inceptionv3_60_Max_Fusion,Max Fusion,0.85,0.8535353535353536,0.8500000000000001,0.849624060150376
Inceptionv3_80_Sum_Fusion,Sum Fusion,0.9375,0.9377736085053159,0.9375,0.9374902328488826
Inceptionv3_80_Product_Fusion,Product Fusion,0.9125,0.914833438089252,0.9125,0.9123767798466593
Inceptionv3_80_Average_Fusion,Average Fusion,0.9375,0.9377736085053159,0.9375,0.9374902328488826
Inceptionv3_80_Min_Fusion,Min Fusion,0.875,0.8836317135549872,0.875,0.8742928975487115
Inceptionv3_80_Max_Fusion,Max Fusion,0.875,0.8836317135549872,0.875,0.8742928975487115
ResNet50_30_Sum_Fusion,Sum Fusion,0.9,0.9166666666666667,0.9,0.898989898989899
ResNet50_30_Product_Fusion,Product Fusion,0.9,0.9092071611253196,0.8999999999999999,0.8994343180389692
ResNet50_30_Average_Fusion,Average Fusion,0.9,0.9166666666666667,0.9,0.898989898989899
ResNet50_30_Min_Fusion,Min Fusion,0.8875,0.8936507936507936,0.8875,0.8870588235294118
